Row,Pre-63,63-7,68-9,70-1,72-4,,,Year,Emission
1,2351,620,1088,141,140,,,Pre-63,2351
2,1293,940,388,359,160,,,Pre-63,1293
3,541,350,111,247,20,,,Pre-63,541
4,1058,700,558,940,20,,,Pre-63,1058
5,411,1150,294,882,223,,,Pre-63,411
6,570,2000,211,494,60,,,Pre-63,570
7,800,823,460,306,20,,,Pre-63,800
8,630,1058,470,200,95,,,Pre-63,630
9,905,423,353,100,360,,,Pre-63,905
10,347,900,71,300,70,,,Pre-63,347
11,,405,241,223,220,,,63-67,620
12,,780,2999,190,400,,,63-67,940
13,,270,199,140,217,,,63-67,350
14,,,188,880,58,,,63-67,700
15,,,353,200,235,,,63-67,1150
16,,,117,223,1880,,,63-67,2000
17,,,,188,200,,,63-67,823
18,,,,435,175,,,63-67,1058
19,,,,940,85,,,63-67,423
20,,,,241,,,,63-67,900
,,,,,,,,63-67,405
,,,,,,,,63-67,780
,,,,,,,,63-67,270
,,,,,,,,68-69,1088
,,,,,,,,68-69,388
,,,,,,,,68-69,111
,,,,,,,,68-69,558
,,,,,,,,68-69,294
,,,,,,,,68-69,211
,,,,,,,,68-69,460
,,,,,,,,68-69,470
,,,,,,,,68-69,353
,,,,,,,,68-69,71
,,,,,,,,68-69,241
,,,,,,,,68-69,2999
,,,,,,,,68-69,199
,,,,,,,,68-69,188
,,,,,,,,68-69,353
,,,,,,,,68-69,117
,,,,,,,,70-71,141
,,,,,,,,70-71,359
,,,,,,,,70-71,247
,,,,,,,,70-71,940
,,,,,,,,70-71,882
,,,,,,,,70-71,494
,,,,,,,,70-71,306
,,,,,,,,70-71,200
,,,,,,,,70-71,100
,,,,,,,,70-71,300
,,,,,,,,70-71,223
,,,,,,,,70-71,190
,,,,,,,,70-71,140
,,,,,,,,70-71,880
,,,,,,,,70-71,200
,,,,,,,,70-71,223
,,,,,,,,70-71,188
,,,,,,,,70-71,435
,,,,,,,,70-71,940
,,,,,,,,70-71,241
,,,,,,,,72-74,140
,,,,,,,,72-74,160
,,,,,,,,72-74,20
,,,,,,,,72-74,20
,,,,,,,,72-74,223
,,,,,,,,72-74,60
,,,,,,,,72-74,20
,,,,,,,,72-74,95
,,,,,,,,72-74,360
,,,,,,,,72-74,70
,,,,,,,,72-74,220
,,,,,,,,72-74,400
,,,,,,,,72-74,217
,,,,,,,,72-74,58
,,,,,,,,72-74,235
,,,,,,,,72-74,1880
,,,,,,,,72-74,200
,,,,,,,,72-74,175
,,,,,,,,72-74,85
